recruitNumber,name,detailLink,publishTime,catalog,workLocation
2,15572-手游商业化运营策划（深圳）,http://hr.tencent.com/position_detail.php?id=19422&keywords=&tid=0&lid=0,2015-02-12,产品/项目类,深圳
1,15573-游戏美术场景设计师（上海）,http://hr.tencent.com/position_detail.php?id=18636&keywords=&tid=0&lid=0,2015-02-12,设计类,上海
2,15665-智能玩具互动游戏系统策划(深圳),http://hr.tencent.com/position_detail.php?id=17263&keywords=&tid=0&lid=0,2015-02-12,产品/项目类,深圳
1,15665-智能玩具互动游戏主美术（深圳）,http://hr.tencent.com/position_detail.php?id=17259&keywords=&tid=0&lid=0,2015-02-12,设计类,深圳
1,14131-员工关系经理（广州）,http://hr.tencent.com/position_detail.php?id=22077&keywords=&tid=0&lid=0,2015-08-24,职能类,广州
4,15583-游戏移动客户端开发工程师（深圳）,http://hr.tencent.com/position_detail.php?id=18779&keywords=&tid=0&lid=0,2015-02-12,技术类,深圳
1,13654-新媒体策划运营（北京）,http://hr.tencent.com/position_detail.php?id=19121&keywords=&tid=0&lid=0,2015-02-13,职能类,北京
2,TEG09-分布式存储后台开发工程师（深圳）,http://hr.tencent.com/position_detail.php?id=20385&keywords=&tid=0&lid=0,2015-08-25,技术类,深圳
2,TEG13-后台开发工程师（深圳）,http://hr.tencent.com/position_detail.php?id=21913&keywords=&tid=0&lid=0,2015-08-25,技术类,深圳
2,TEG06-IT应用开发工程师（深圳）,http://hr.tencent.com/position_detail.php?id=18314&keywords=&tid=0&lid=0,2015-08-25,技术类,深圳
2,TEG09-存储运维工程师（深圳）,http://hr.tencent.com/position_detail.php?id=21442&keywords=&tid=0&lid=0,2015-08-25,技术类,深圳
1,XN-Web前端开发工程师（深圳）,http://hr.tencent.com/position_detail.php?id=16489&keywords=&tid=0&lid=0,2015-08-24,技术类,深圳
1,TEG05-Linux后台开发工程师（深圳）,http://hr.tencent.com/position_detail.php?id=21336&keywords=&tid=0&lid=0,2015-08-24,技术类,深圳
1,OMG08-腾讯市场PR总监(北京),http://hr.tencent.com/position_detail.php?id=11368&keywords=&tid=0&lid=0,2015-08-24,市场类,北京
8,ZX1-金融大数据ETL开发工程师（深圳）,http://hr.tencent.com/position_detail.php?id=21789&keywords=&tid=0&lid=0,2015-08-24,技术类,深圳
1,SD6-数据分析游戏运营策划（上海）,http://hr.tencent.com/position_detail.php?id=16999&keywords=&tid=0&lid=0,2014-12-17,产品/项目类,上海
1,FWZ-版权管理专员（深圳）,http://hr.tencent.com/position_detail.php?id=18721&keywords=&tid=0&lid=0,2014-12-09,职能类,深圳
1,HY1-游戏质量开放系统架构师（上海）,http://hr.tencent.com/position_detail.php?id=17910&keywords=&tid=0&lid=0,2015-02-11,技术类,上海
1,HY2-产品经理（深圳）,http://hr.tencent.com/position_detail.php?id=19300&keywords=&tid=0&lid=0,2015-02-02,产品/项目类,深圳
2,S2-International Corporate Tax Senior Manager(Shenzhen),http://hr.tencent.com/position_detail.php?id=18852&keywords=&tid=0&lid=0,2015-01-26,职能类,深圳
2,15572-枪神纪品牌运营策划（深圳）,http://hr.tencent.com/position_detail.php?id=6383&keywords=&tid=0&lid=0,2015-02-12,产品/项目类,深圳
1,MIG07-驱动开发工程师（深圳）,http://hr.tencent.com/position_detail.php?id=16968&keywords=&tid=0&lid=0,2015-02-12,技术类,深圳
2,15665-智能玩具互动游戏后台开发工程师(深圳),http://hr.tencent.com/position_detail.php?id=17210&keywords=&tid=0&lid=0,2015-02-12,技术类,深圳
1,15573-移动终端游戏资深创新型策划（深圳）,http://hr.tencent.com/position_detail.php?id=14641&keywords=&tid=0&lid=0,2015-02-12,产品/项目类,深圳
2,TB-投资经理（北京）,http://hr.tencent.com/position_detail.php?id=22079&keywords=&tid=0&lid=0,2015-08-24,市场类,深圳
1,SNG07-运营QA工程师（深圳）,http://hr.tencent.com/position_detail.php?id=21385&keywords=&tid=0&lid=0,2015-08-24,技术类,深圳
1,15579-SD3-互娱游戏3D美术师（深圳）,http://hr.tencent.com/position_detail.php?id=18659&keywords=&tid=0&lid=0,2015-02-12,设计类,深圳
1,SD6-QQ炫舞2版本管理游戏策划（深圳）,http://hr.tencent.com/position_detail.php?id=16474&keywords=&tid=0&lid=0,2015-02-12,产品/项目类,深圳
2,HY4-移动游戏公众号产品经理（深圳）,http://hr.tencent.com/position_detail.php?id=14486&keywords=&tid=0&lid=0,2015-02-13,产品/项目类,深圳
1,HY3-互娱供应商管理经理（深圳）,http://hr.tencent.com/position_detail.php?id=17518&keywords=&tid=0&lid=0,2015-02-13,职能类,深圳
1,HY2-操作服务经理(深圳),http://hr.tencent.com/position_detail.php?id=16335&keywords=&tid=0&lid=0,2015-02-12,技术类,深圳
3,TEG15-计费后台开发工程师（深圳）,http://hr.tencent.com/position_detail.php?id=21712&keywords=&tid=0&lid=0,2015-08-25,技术类,深圳
4,TEG15-运营开发工程师（深圳）,http://hr.tencent.com/position_detail.php?id=20744&keywords=&tid=0&lid=0,2015-08-25,技术类,深圳
8,TEG03-分布式后台开发高级工程师（深圳）,http://hr.tencent.com/position_detail.php?id=19895&keywords=&tid=0&lid=0,2015-08-24,技术类,深圳
2,MIG06-Android终端开发工程师（深圳）,http://hr.tencent.com/position_detail.php?id=21203&keywords=&tid=0&lid=0,2015-08-24,技术类,深圳
1,S2-市场营销内审经理(深圳）,http://hr.tencent.com/position_detail.php?id=20387&keywords=&tid=0&lid=0,2015-08-24,职能类,深圳
1,XN-高级彩票（运营）产品经理（深圳）,http://hr.tencent.com/position_detail.php?id=18946&keywords=&tid=0&lid=0,2015-08-24,产品/项目类,深圳
1,SNG02-语音服务器混音高级工程师（深圳）,http://hr.tencent.com/position_detail.php?id=15540&keywords=&tid=0&lid=0,2014-12-05,技术类,深圳
1,SD6-ACG游戏策划（上海）,http://hr.tencent.com/position_detail.php?id=16991&keywords=&tid=0&lid=0,2015-02-12,产品/项目类,上海
2,15569-动作类游戏高级移动终端开发工程师（深圳）,http://hr.tencent.com/position_detail.php?id=15434&keywords=&tid=0&lid=0,2015-02-12,技术类,深圳
1,15573-游戏美术3D设计（深圳）,http://hr.tencent.com/position_detail.php?id=14915&keywords=&tid=0&lid=0,2015-02-12,设计类,深圳
1,MIG12-高级数据库管理工程师（深圳）,http://hr.tencent.com/position_detail.php?id=18691&keywords=&tid=0&lid=0,2015-08-24,技术类,深圳
1,SD13-游戏运营营销策划（深圳）,http://hr.tencent.com/position_detail.php?id=17188&keywords=&tid=0&lid=0,2015-02-12,产品/项目类,深圳
1,15687-2D游戏美术设计师（深圳）,http://hr.tencent.com/position_detail.php?id=19201&keywords=&tid=0&lid=0,2015-02-12,设计类,深圳
1,SD13-电视游戏运营策划（深圳）,http://hr.tencent.com/position_detail.php?id=21292&keywords=&tid=0&lid=0,2015-08-25,产品/项目类,深圳
1,MIG12-数据分析师（深圳）,http://hr.tencent.com/position_detail.php?id=21839&keywords=&tid=0&lid=0,2015-08-24,产品/项目类,深圳
1,HY1-游戏云平台高级产品经理(深圳),http://hr.tencent.com/position_detail.php?id=13504&keywords=&tid=0&lid=0,2015-08-24,产品/项目类,深圳
